ITTER107;Territorio;TIPO_DATO7;Indicatori;Correzione;TIPO_ALLOGGIO2;Tipologia di esercizio;ISO;Paese di residenza dei clienti;TIME;Seleziona periodo;Value
ITG2A;Ogliastra;AR;arrivi;dati grezzi;OTHER;esercizi extra-alberghieri;WORLD;Mondo;2016;2016;65538
ITG2A;Ogliastra;AR;arrivi;dati grezzi;OTHER;esercizi extra-alberghieri;WORLD;Mondo;2016-01;gen-16;20
ITG2A;Ogliastra;AR;arrivi;dati grezzi;OTHER;esercizi extra-alberghieri;WORLD;Mondo;2016-02;feb-16;67
ITG2A;Ogliastra;AR;arrivi;dati grezzi;OTHER;esercizi extra-alberghieri;WORLD;Mondo;2016-03;mar-16;198
ITG2A;Ogliastra;AR;arrivi;dati grezzi;OTHER;esercizi extra-alberghieri;WORLD;Mondo;2016-04;apr-16;769
ITG2A;Ogliastra;AR;arrivi;dati grezzi;OTHER;esercizi extra-alberghieri;WORLD;Mondo;2016-05;mag-16;4724
ITG2A;Ogliastra;AR;arrivi;dati grezzi;OTHER;esercizi extra-alberghieri;WORLD;Mondo;2016-06;giu-16;9957
ITG2A;Ogliastra;AR;arrivi;dati grezzi;OTHER;esercizi extra-alberghieri;WORLD;Mondo;2016-07;lug-16;16323
ITG2A;Ogliastra;AR;arrivi;dati grezzi;OTHER;esercizi extra-alberghieri;WORLD;Mondo;2016-08;ago-16;20240
ITG2A;Ogliastra;AR;arrivi;dati grezzi;OTHER;esercizi extra-alberghieri;WORLD;Mondo;2016-09;set-16;10364
ITG2A;Ogliastra;AR;arrivi;dati grezzi;OTHER;esercizi extra-alberghieri;WORLD;Mondo;2016-10;ott-16;2582
ITG2A;Ogliastra;AR;arrivi;dati grezzi;OTHER;esercizi extra-alberghieri;WORLD;Mondo;2016-11;nov-16;159
ITG2A;Ogliastra;AR;arrivi;dati grezzi;OTHER;esercizi extra-alberghieri;WORLD;Mondo;2016-12;dic-16;135
ITG2A;Ogliastra;AR;arrivi;dati grezzi;OTHER;esercizi extra-alberghieri;WRL_X_ITA;Paesi esteri;2016;2016;30640
ITG2A;Ogliastra;AR;arrivi;dati grezzi;OTHER;esercizi extra-alberghieri;WRL_X_ITA;Paesi esteri;2016-01;gen-16;2
ITG2A;Ogliastra;AR;arrivi;dati grezzi;OTHER;esercizi extra-alberghieri;WRL_X_ITA;Paesi esteri;2016-02;feb-16;3
ITG2A;Ogliastra;AR;arrivi;dati grezzi;OTHER;esercizi extra-alberghieri;WRL_X_ITA;Paesi esteri;2016-03;mar-16;70
ITG2A;Ogliastra;AR;arrivi;dati grezzi;OTHER;esercizi extra-alberghieri;WRL_X_ITA;Paesi esteri;2016-04;apr-16;444
ITG2A;Ogliastra;AR;arrivi;dati grezzi;OTHER;esercizi extra-alberghieri;WRL_X_ITA;Paesi esteri;2016-05;mag-16;4262
ITG2A;Ogliastra;AR;arrivi;dati grezzi;OTHER;esercizi extra-alberghieri;WRL_X_ITA;Paesi esteri;2016-06;giu-16;5628
ITG2A;Ogliastra;AR;arrivi;dati grezzi;OTHER;esercizi extra-alberghieri;WRL_X_ITA;Paesi esteri;2016-07;lug-16;5748
ITG2A;Ogliastra;AR;arrivi;dati grezzi;OTHER;esercizi extra-alberghieri;WRL_X_ITA;Paesi esteri;2016-08;ago-16;5217
ITG2A;Ogliastra;AR;arrivi;dati grezzi;OTHER;esercizi extra-alberghieri;WRL_X_ITA;Paesi esteri;2016-09;set-16;6892
