ANNI,Nord-ovest,Nord-est,Centro,Sud,Isole,Regioni diverse e non  specificate,Italia
1985,33587519.00 ,19778107.00 ,12290675.00 ,5145710.00 ,3762907.00 ,2760872.00 ,77325790.00 
1986,33085278.00 ,19494286.00 ,11751776.00 ,4855048.00 ,2556107.00 ,3314822.00 ,75057317.00 
1987,34539685.00 ,20943789.00 ,12269792.00 ,4955274.00 ,2499260.00 ,2714727.00 ,77922526.00 
1988,41006708.00 ,23880594.00 ,12676743.00 ,5267624.00 ,2525650.00 ,570815.00 ,85928134.00 
1989,47142723.00 ,26828323.00 ,15178560.00 ,5931589.00 ,2866016.00 ,1624211.00 ,99571422.00 
1990,49327634.00 ,28895192.00 ,15727223.00 ,6315543.00 ,3119767.00 ,1721513.00 ,105106873.00 
1991,50000665.00 ,29695069.00 ,16039731.00 ,6614243.00 ,3066509.00 ,2899418.00 ,108315636.00 
1992,53174259.00 ,31515971.00 ,16964438.00 ,6844225.00 ,3034274.00 ,1796179.00 ,113329345.00 
1993,62393832.00 ,40710807.00 ,21805112.00 ,8572659.00 ,3200968.00 ,804908.00 ,137488285.00 
1994,72165434.00 ,47592218.00 ,25308158.00 ,10407886.00 ,3442430.00 ,176166.00 ,159092292.00 
1995,89986631.00 ,58639023.00 ,29971731.00 ,14044290.00 ,4191010.00 ,27605.00 ,196860291.00 
1996,89884939.00 ,60717616.00 ,31713843.00 ,14088038.00 ,4240963.00 ,197017.00 ,200842415.00 
1997,92300653.00 ,64097245.00 ,34222296.00 ,15291326.00 ,5129410.00 ,256182.00 ,211297113.00 
1998,93772794.00 ,68228061.00 ,35302037.00 ,17524097.00 ,5054474.00 ,223450.00 ,220104912.00 
1999,92648265.00 ,69880832.00 ,35758720.00 ,17387084.00 ,5078990.00 ,286578.00 ,221040469.00 
2000,107154835.00 ,80517774.00 ,43338616.00 ,20763202.00 ,7929929.00 ,708897.00 ,260413251.00 
2001,113525219.00 ,84631085.00 ,44309760.00 ,22126960.00 ,7599537.00 ,797055.00 ,272989617.00 
2002,109552344.00 ,85310334.00 ,44563435.00 ,21733120.00 ,7100525.00 ,803763.00 ,269063520.00 
2003,110131471.00 ,83081517.00 ,42449065.00 ,20495074.00 ,7580942.00 ,877537.00 ,264615606.00 
2004,114535059.00 ,89550352.00 ,44592301.00 ,21883782.00 ,8381231.00 ,5470636.00 ,284413361.00 
2005,122058512.00 ,92830892.00 ,45252251.00 ,22691524.00 ,11075132.00 ,6015105.00 ,299923416.00 
2006,132965685.00 ,104411887.00 ,51616542.00 ,24479864.00 ,12284067.00 ,6254840.00 ,332012885.00 
2007,144958363.00 ,115498054.00 ,56091951.00 ,27119469.00 ,14386282.00 ,6689800.00 ,364743919.00 
2008,147951024.00 ,116972214.00 ,53803968.00 ,27514076.00 ,15877352.00 ,6896923.00 ,369015556.00 
2009,118177646.00 ,91604450.00 ,45586857.00 ,21163731.00 ,9521226.00 ,5679207.00 ,291733117.00 
2010,134948422.00 ,105820307.00 ,53604997.00 ,24399416.00 ,14556073.00 ,4017068.00 ,337346283.00 
2011,150117276.00 ,117654868.00 ,60704756.00 ,27036567.00 ,16038416.00 ,4351949.00 ,375903832.00 
2012,155456031.00 ,119042454.00 ,64596149.00 ,27094058.00 ,19462065.00 ,4531334.00 ,390182092.00 
2013,156491135.00 ,122041840.00 ,64246109.00 ,26016334.00 ,16574593.00 ,4862583.00 ,390232593.00 
2014,160005590.00 ,126855451.00 ,66434117.00 ,26383838.00 ,14322598.00 ,4868820.00 ,398870414.00 
2015,164400918.00 ,132807237.00 ,69107846.00 ,29067941.00 ,13272239.00 ,5225166.00 ,413881349.00 
